# tag,program,comment
a,ufw,Firewall configuration tool
a,fail2ban,Intrusion prevention software
a,apparmor,Mandatory access control framework
a,apparmor-profiles,Additional AppArmor profiles
a,apparmor-utils,AppArmor utilities
a,firejail,Sandboxing tool
a,tcpd,Access control for internet services
a,lynis,Security auditing tool
a,debsums,Verify installed package files against MD5 checksums
a,rkhunter,Rootkit scanner
a,libpam-pwquality,Password quality control
a,libvirt-daemon-system,Libvirt daemon for managing VMs
a,libvirt-clients,Libvirt client utilities
a,qemu-kvm,Virtualization software
a,docker.io,Containerization platform
a,docker-compose,Tool for defining and running multi-container Docker applications
a,openssh-server,SSH server
a,chkrootkit,Rootkit scanner
a,maldetect,Malware detection tool
a,yara,Pattern matching tool 
a,needrestart,Service restart tool
a,debscan,Debian security scanner
a,psad,Process status tool
a,suricata,Network intrusion detection system
a,tripwire,File integrity checker
a,logwatch,Log analysis tool
